"ID","Name","Date (UTC)","Image","Frequency (MHz)","RA (deg)","RA Error (arcsec)","Dec (deg)","Dec Error (arcsec)","Peak Flux (mJy/beam)","Peak Flux Error (mJy/beam)","Peak Flux Isl. Ratio","Int. Flux (mJy)","Int. Flux Error (mJy)","Int. Flux Isl. Ratio","Local RMS (mJy)","SNR","Has siblings","Forced Extraction","Image ID"
"247522792","image_SB45538_component_5125a_f_run000064","2022-11-14T06:15:15.700000+00:00","image.i.VAST_1806-25A.SB45538.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","-0.137","0.401","1.00","-0.137","0.401","1.00","0.40","-0.34","false","true","23902"
"246924771","image_SB45675_component_5314a_f_run000064","2022-11-19T05:31:23.300000+00:00","image.i.VAST_1806-25.SB45675.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.831","0.400","1.00","0.831","0.400","1.00","0.40","2.07","false","true","24172"
"246933413","image_SB46055_component_5067a_f_run000064","2022-12-08T03:49:48.400000+00:00","image.i.VAST_1806-25.SB46055.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.154","0.469","1.00","0.154","0.469","1.00","0.47","0.33","false","true","24173"
"246942364","image_SB47063_component_5018a_f_run000064","2023-01-06T02:26:06.900000+00:00","image.i.VAST_1806-25.SB47063.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.868","0.436","1.00","0.868","0.436","1.00","0.44","1.99","false","true","24174"
"237643236","VAST_1806-25_SB47253_component_505a","2023-01-21T00:51:40.500000+00:00","image.i.VAST_1806-25.SB47253.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.1069","-25.4639","0.0915","25.120","0.477","1.00","25.861","0.843","1.00","0.47","53.00","false","false","24175"
"247062712","image_SB47630_component_5199a_f_run000064","2023-02-04T02:26:02.900000+00:00","image.i.VAST_1806-25.SB47630.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","-0.029","0.380","1.00","-0.029","0.380","1.00","0.38","-0.08","false","true","24176"
"246968769","image_SB47695_component_5170a_f_run000064","2023-02-05T02:26:30.100000+00:00","image.i.VAST_1806-25.SB47695.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.975","0.481","1.00","0.975","0.481","1.00","0.48","2.03","false","true","24177"
"247067063","image_SB48346_component_4478a_f_run000064","2023-02-19T23:46:19.600000+00:00","image.i.VAST_1806-25.SB48346.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","-0.071","0.465","1.00","-0.071","0.465","1.00","0.46","-0.15","false","true","24230"
"247287996","image_SB48544_component_4904a_f_run000064","2023-02-23T22:37:22+00:00","image.i.VAST_1806-25.SB48544.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.002","0.426","1.00","0.002","0.426","1.00","0.43","0.00","false","true","24273"
"246987348","image_SB48856_component_4767a_f_run000064","2023-03-06T22:37:23.900000+00:00","image.i.VAST_1806-25.SB48856.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","1.119","0.512","1.00","1.119","0.512","1.00","0.51","2.18","false","true","24315"
"246868303","image_SB49019_component_4945a_f_run000064","2023-03-22T21:38:30.200000+00:00","image.i.VAST_1806-25.SB49019.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.918","0.438","1.00","0.918","0.438","1.00","0.44","2.10","false","true","24357"
"247001391","image_SB49153_component_4574a_f_run000064","2023-04-06T21:49:15.200000+00:00","image.i.VAST_1806-25.SB49153.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","2.609","0.517","1.00","2.609","0.517","1.00","0.52","5.05","false","true","23871"
"247010584","image_SB49598_component_5013a_f_run000064","2023-04-21T19:34:26.900000+00:00","image.i.VAST_1806-25.SB49598.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.754","0.466","1.00","0.754","0.466","1.00","0.47","1.62","false","true","23665"
"247019072","image_SB49877_component_5244a_f_run000064","2023-05-06T18:43:29.400000+00:00","image.i.VAST_1806-25.SB49877.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.540","0.388","1.00","0.540","0.388","1.00","0.39","1.39","false","true","23707"
"247071901","image_SB50155_component_5222a_f_run000064","2023-05-21T17:46:30.900000+00:00","image.i.VAST_1806-25.SB50155.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.511","0.365","1.00","0.511","0.365","1.00","0.36","1.40","false","true","23749"
"247076048","image_SB50315_component_5174a_f_run000064","2023-06-02T16:47:38.900000+00:00","image.i.VAST_1806-25.SB50315.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.414","0.402","1.00","0.414","0.402","1.00","0.40","1.03","false","true","23792"
"247035844","image_SB50458_component_5160a_f_run000064","2023-06-12T17:24:36+00:00","image.i.VAST_1806-25.SB50458.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.709","0.363","1.00","0.709","0.363","1.00","0.36","1.95","false","true","24431"
"247080173","image_SB50705_component_5252a_f_run000064","2023-06-22T17:39:12.100000+00:00","image.i.VAST_1806-25.SB50705.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.857","0.397","1.00","0.857","0.397","1.00","0.40","2.16","false","true","24510"
"247084235","image_SB51108_component_5122a_f_run000064","2023-07-04T14:40:21.200000+00:00","image.i.VAST_1806-25.SB51108.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","1.297","0.413","1.00","1.297","0.413","1.00","0.41","3.14","false","true","24921"
"247058668","image_SB51529_component_5219a_f_run000064","2023-07-21T13:37:27.600000+00:00","image.i.VAST_1806-25.SB51529.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","1.106","0.422","1.00","1.106","0.422","1.00","0.42","2.62","false","true","25034"
"252340281","SB51863_component_10246a_f_run064","2023-08-07T14:34:30.100000+00:00","image.i.VAST_1806-25.SB51863.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.153","0.360","1.00","0.153","0.360","1.00","0.36","0.42","false","true","25075"
"252350314","SB53338_component_10228a_f_run064","2023-10-02T10:09:28.900000+00:00","image.i.VAST_1806-25.SB53338.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.539","0.381","1.00","0.539","0.381","1.00","0.38","1.42","false","true","25127"
"252360525","SB53803_component_10212a_f_run064","2023-10-18T07:18:49.600000+00:00","image.i.VAST_1806-25.SB53803.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.126","0.455","1.00","0.126","0.455","1.00","0.45","0.28","false","true","25170"
"252370931","SB54909_component_10201a_f_run064","2023-11-18T07:03:39.900000+00:00","image.i.VAST_1806-25.SB54909.cont.taylor.0.restored.conv.fits.fz","887.00","268.8949","0.0100","-25.4639","0.0100","0.383","0.407","1.00","0.383","0.407","1.00","0.41","0.94","false","true","25216"