t,I,L,Q,U,V,pa
5227513916.092798,0.027229572,0.0028298627378329495,-0.0027050450438683054,-0.0008311765309601297,-0.002026646,
5227513926.046079,0.032923352,0.004221199681899699,-0.0035889015401250903,0.002222231421287593,0.004309926,
5227513935.999358,0.03145002,0.0017373464421049853,0.0017251498000472882,-0.0002055014045977608,0.0010812061,
5227513945.952639,0.027643213,0.0064565968256520044,0.005808109692522584,0.0028201958032457166,-0.0035216382,
5227513955.905918,0.029254867,0.004832816402921112,-0.0006815483703354402,0.004784517342766819,-0.00016447766,
5227513965.859198,0.04069164,0.0016880332442981358,0.0013113190704481942,-0.0010629668524157155,0.0026749312,
5227513975.812478,0.037897144,0.005200979790569455,0.0009486399348545329,-0.005113733768579576,0.002409746,
5227513985.7657585,0.03869523,0.006038470673210655,-0.00598639226772434,-0.0007913505469483026,0.004899917,
5227513995.719038,0.043410875,0.0035109374187645187,-0.0034107274982188925,-0.0008328382144056291,-0.00032407284,
5227514005.672318,0.05343585,0.0047475235565072335,0.0014626583700821693,-0.004516592787934248,-0.0011799937,
5227514015.625599,0.06948296,0.015210880120771464,-0.006324769386110575,-0.013833588336400608,-0.005443345,-57.28503012018794
5227514025.578878,0.11021357,0.04283285801842156,-0.03439906800857628,-0.025521713229475867,0.0020085864,-71.71357901344359
5227514035.532158,0.15440503,0.07508714611912627,-0.06321440381493085,-0.04052182945818064,0.003031586,-73.6696156746822
5227514045.485438,0.16142772,0.0737857873489213,-0.061157609012617214,-0.04128061620857999,0.0076563885,-72.99057275604865
5227514055.438718,0.1501589,0.06826875869602399,-0.059733650340194455,-0.033053206061308765,0.009976735,-75.5211759620639
5227514065.391998,0.1197979,0.035498974220794365,-0.031902571936952555,-0.01556929910227786,-0.0015340878,-76.99319993012156
5227514075.345278,0.10594199,0.012758835153146048,-0.012643865368759496,-0.0017089596255732916,0.002069776,-86.151241698007
5227514085.298558,0.09233082,0.009250780712401693,-0.009236510239435709,0.0005136364334259111,0.0005274468,
5227514095.251838,0.09403473,0.003355415050695202,-0.0033448819369730504,-0.00026565953802432503,-4.9121314e-05,
5227514105.205118,0.09729409,0.009737822822321742,-0.0028225927420200414,0.009319772718882471,0.0010429798,
5227514115.158399,0.09960865,0.003231597970585732,0.0032244597707684532,-0.00021467331038039437,-0.004997657,
5227514125.111678,0.10613574,0.004022322459451314,-0.0022231593240461876,0.003352109871068215,-0.0029666014,
5227514135.064959,0.10408933,0.0017569759195553588,-0.001586389872613346,-0.0007552029885846655,0.0014894125,
5227514145.018238,0.107876115,0.009604408188630925,-0.0012373186377783406,-0.009524373955407627,0.0046023824,
5227514154.9715185,0.108651645,0.002320164932989219,-0.00037667195509357267,-0.002289384972982668,0.0013928289,
5227514164.924798,0.11431322,0.008476961667206987,-0.0015023249807478412,0.008342775243257945,-0.0013368034,
5227514174.878078,0.11792579,0.0025681572931512426,-0.0008703276376507645,0.002416187427644461,0.004233942,
5227514184.831358,0.1209744,0.0037240186083719075,-0.0008773885226089382,0.0036191855404074467,-0.0030742735,
5227514194.784638,0.1310802,0.0033975070441332215,-0.002786685318571778,0.0019435634927090415,0.0011243725,
5227514204.737918,0.13047509,0.0062387739675211626,0.0052875162020354066,-0.003311264566752832,-0.003949673,
5227514214.691198,0.13786943,0.0021071564841829912,-0.0016232199712755573,0.001343601642484335,0.0005563976,
5227514224.644479,0.1446435,0.006756598833254364,-0.006139650706698158,-0.0028206944168546575,0.0036480217,
5227514234.597758,0.15522866,0.009260626538745782,-0.00883487638036533,-0.002775637446386953,-0.0016202002,
5227514244.551039,0.15785132,0.0014575811850447299,0.0009309475459447931,-0.0011215523071599319,-0.0007623269,
5227514254.504318,0.16623448,0.007338288780959641,0.0026776628509670368,-0.006832320534731169,-0.00095917255,
5227514264.457599,0.1610301,0.0019721019271753746,-0.0019317104383370558,0.0003970904098419986,-0.0055831373,
5227514274.410878,0.16805142,0.006198425492216844,-0.003543398545548839,0.005085745307225481,0.0033713372,
5227514284.364158,0.1733451,0.004354110669346754,-0.004084136782708075,0.0015093397434143758,-0.0012532359,
5227514294.317438,0.1758209,0.010448668719230347,0.0046849762572295445,-0.009339468693315384,0.008711843,-31.68009639914491
5227514304.270718,0.17689769,0.0031239366540705,0.002662588133300319,0.0016338924845452694,-0.0053324834,
5227514314.223998,0.17770071,0.0033384831946239846,-0.0008727591477032891,-0.00322238444492382,-0.0021937732,
5227514324.1772785,0.18216361,0.0032816035232334563,0.002078880531375799,-0.0025391292641306997,0.0024398337,
5227514334.130558,0.18235031,0.0026787348712554396,-0.002587868007806282,0.0006917800840242807,0.0057875575,
5227514344.083838,0.19163461,0.009317873743026492,-0.001796538938628742,-0.009143042104954632,-0.005396202,
5227514354.037119,0.19786055,0.00622332989070014,-0.0036824923662804156,-0.005016879996648144,-0.0024092938,
5227514363.990398,0.18918896,0.008168444285676734,-0.001170425992582336,-0.008084156421302878,-0.0016950296,
5227514373.943678,0.19436347,0.005453910151060586,-0.005302781483256736,-0.001275007637887396,-0.0010620103,
5227514383.896958,0.19388844,0.005153644958766097,-0.003720565713677865,-0.0035661529876352643,-0.00026128488,
5227514393.850238,0.20060292,0.0017680724156629254,0.0017502347194638212,-0.0002505164541732369,-0.008232165,
5227514403.803518,0.20432305,0.011094601317744047,0.00043725253096718207,0.011085981626534059,-0.00013949738,43.87065727068155
5227514413.756798,0.20834205,0.004157704831383428,-0.0007552835355341995,-0.004088527393311688,-0.0028241014,
5227514423.710078,0.21276948,0.002387457769974861,-0.0019534156350022557,-0.0013726332213457723,0.00016077602,
5227514433.663359,0.21383029,0.004101183612665407,-0.0033541892501563328,0.0023598986204773653,-0.0036175721,
5227514443.616638,0.23126727,0.0036876292127236213,-0.0029239431791148866,0.00224703482301458,-0.007529077,
5227514453.569919,0.2323865,0.0034793960520629855,-0.001969253063895671,0.0028684907630056964,-0.0042077857,
5227514463.523198,0.23378226,0.007993318900270814,0.006466594989535236,-0.004698541931572431,-0.0048866,
5227514473.476479,0.24197292,0.004560934279604905,0.002750086852811737,0.0036385634259783286,-0.0046798857,
5227514483.429758,0.24855201,0.004303914178425197,-0.003915620487845402,0.0017865031347341026,-0.005558037,
5227514493.3830385,0.24506682,0.00652583137008781,-0.005791076303148807,-0.003008306886261855,-0.0037717524,
5227514503.336318,0.24087399,0.004016667630930906,0.0040117631475869555,0.00019843211693498864,-0.0060173036,
5227514513.289598,0.23837504,0.011249100628421587,0.004172892720481598,-0.010446493731951723,0.0023716309,-34.112784393995405
5227514523.242878,0.2394665,0.004048671810538903,0.000688754611105124,-0.0039896566913875916,-0.0047500287,
5227514533.196158,0.2375594,0.0003196859510391324,0.00022423472355454974,-0.00022785498907026193,0.0023943745,
5227514543.149438,0.24045536,0.0053415698332782684,0.0012037339033587032,-0.005204170728722613,-0.0035336113,
5227514553.102718,0.23549487,0.0036906358848091624,0.0016263458293479611,0.0033129733590241263,0.0041633863,
5227514563.055999,0.24091524,0.0050625909818252076,-0.003131910721470966,0.00397755737632949,-0.0045670113,
5227514573.009278,0.245298,0.0026560558995637517,0.0023122061536698666,0.0013070331459219433,-0.0072400244,
5227514582.962559,0.24685183,0.005347796746459838,-0.004400233765987053,0.0030392224081356436,-0.0050386265,
5227514592.915838,0.24358068,0.004185938922630426,-0.004132782650549724,0.0006649753584213232,-0.006212984,
